epoch,train/box_loss,val/box_loss,train/obj_loss,val/obj_loss,train/cls_loss,val/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,x/lr0,x/lr1,x/lr2
44,0.019356,0.014635,0.0070269,0.0048058,0.00091514,0.00095219,0.9359,0.94131,0.96118,0.66041,0.008581,0.008581,0.008581
45,0.019944,0.014405,0.0071416,0.0048991,0.0010428,0.0010087,0.9273,0.93489,0.95919,0.64974,0.008548,0.008548,0.008548
46,0.019471,0.014384,0.0071531,0.0046527,0.00091025,0.00094036,0.92967,0.94297,0.95524,0.6501,0.008515,0.008515,0.008515
47,0.019281,0.014651,0.0069603,0.0047194,0.00090799,0.0010702,0.91981,0.92944,0.94935,0.65089,0.008482,0.008482,0.008482
48,0.019266,0.013863,0.0069763,0.0046194,0.00088442,0.0010044,0.92449,0.9502,0.9605,0.66526,0.008449,0.008449,0.008449
49,0.019114,0.014704,0.0070213,0.0046034,0.00089088,0.00092747,0.94712,0.93884,0.9576,0.65466,0.008416,0.008416,0.008416
50,0.019513,0.013972,0.0071122,0.0046963,0.00089524,0.00096305,0.94103,0.93948,0.95855,0.66327,0.008383,0.008383,0.008383
51,0.01896,0.013237,0.0068555,0.0046233,0.00088307,0.00094482,0.9444,0.93908,0.96297,0.67498,0.00835,0.00835,0.00835
52,0.018228,0.012979,0.0067277,0.0045567,0.00085318,0.00089157,0.93727,0.9516,0.96034,0.69083,0.008317,0.008317,0.008317
53,0.018445,0.013928,0.006804,0.0046968,0.0008672,0.00090227,0.93785,0.94189,0.96621,0.67407,0.008284,0.008284,0.008284
54,0.01889,0.013148,0.0069761,0.0046461,0.00084839,0.00095802,0.93641,0.9352,0.95786,0.67865,0.008251,0.008251,0.008251
55,0.018498,0.01319,0.0067294,0.0046471,0.00083054,0.00093724,0.94456,0.94264,0.96024,0.67508,0.008218,0.008218,0.008218
56,0.018936,0.013575,0.0068981,0.004581,0.0008307,0.00089633,0.94098,0.94272,0.96273,0.6774,0.008185,0.008185,0.008185
57,0.018255,0.013524,0.006751,0.0045523,0.00077556,0.00085425,0.92455,0.95246,0.959,0.67313,0.008152,0.008152,0.008152
58,0.017971,0.013459,0.0067923,0.0047061,0.00077838,0.00095859,0.9363,0.94964,0.95939,0.67158,0.008119,0.008119,0.008119
59,0.017595,0.013683,0.0067211,0.0045517,0.00078553,0.00084118,0.94427,0.94066,0.96236,0.67153,0.008086,0.008086,0.008086
60,0.017979,0.013914,0.0067279,0.0045607,0.00076513,0.00081521,0.94495,0.95375,0.96946,0.6797,0.008053,0.008053,0.008053
61,0.017773,0.013271,0.0065011,0.0044835,0.0007889,0.0008104,0.94068,0.95173,0.96077,0.67492,0.00802,0.00802,0.00802
62,0.018067,0.013181,0.0066278,0.0045045,0.00078464,0.00085919,0.93495,0.95701,0.96465,0.68933,0.007987,0.007987,0.007987
63,0.017225,0.013133,0.0065206,0.004631,0.00082877,0.00077868,0.94649,0.94333,0.96132,0.68371,0.007954,0.007954,0.007954
64,0.017284,0.013151,0.0064626,0.0044508,0.00076192,0.00076736,0.94372,0.94439,0.96126,0.69141,0.007921,0.007921,0.007921
65,0.017546,0.013159,0.0065952,0.0044796,0.00077666,0.00086401,0.94278,0.94226,0.96396,0.69001,0.007888,0.007888,0.007888
66,0.017685,0.012548,0.0064178,0.0044842,0.00075618,0.00083812,0.95552,0.94139,0.96345,0.68585,0.007855,0.007855,0.007855
67,0.017457,0.014037,0.0063468,0.0045995,0.00075764,0.00095549,0.93178,0.9422,0.96065,0.68682,0.007822,0.007822,0.007822
68,0.016609,0.012925,0.0062192,0.0045773,0.00068506,0.00073564,0.93431,0.94899,0.96243,0.67251,0.007789,0.007789,0.007789
69,0.017039,0.01221,0.0064314,0.0044061,0.0006826,0.00085021,0.93826,0.9559,0.96086,0.69955,0.007756,0.007756,0.007756
70,0.016976,0.01268,0.0063755,0.0043798,0.00070141,0.00086021,0.91845,0.91911,0.93681,0.67372,0.007723,0.007723,0.007723
71,0.017327,0.012785,0.0063227,0.0043974,0.00069005,0.0007757,0.93087,0.93108,0.95443,0.69274,0.00769,0.00769,0.00769
72,0.017357,0.012784,0.0063752,0.0044966,0.00078836,0.00085031,0.94113,0.95075,0.96226,0.67989,0.007657,0.007657,0.007657
73,0.016957,0.012759,0.0064566,0.0044587,0.00076489,0.00078843,0.93702,0.94421,0.96314,0.6891,0.007624,0.007624,0.007624
74,0.016795,0.012488,0.0063485,0.0043963,0.00076305,0.00075669,0.93239,0.94933,0.96382,0.68577,0.007591,0.007591,0.007591
75,0.01676,0.012091,0.0062701,0.0045056,0.00073769,0.00083191,0.93989,0.95722,0.96456,0.70308,0.007558,0.007558,0.007558
76,0.016616,0.012801,0.006562,0.0045215,0.00071056,0.00083687,0.92998,0.95834,0.96408,0.69158,0.007525,0.007525,0.007525
77,0.016128,0.012313,0.0062504,0.0042664,0.00064784,0.00078851,0.94949,0.94016,0.9631,0.69591,0.007492,0.007492,0.007492
78,0.016555,0.012701,0.0063181,0.0044145,0.00064148,0.0010054,0.92235,0.95547,0.96234,0.69169,0.007459,0.007459,0.007459
79,0.016081,0.012858,0.0061003,0.004454,0.00069301,0.00074186,0.93942,0.94572,0.95971,0.68488,0.007426,0.007426,0.007426
80,0.016664,0.012429,0.0063334,0.0044598,0.00066661,0.00085499,0.93793,0.95517,0.96524,0.68107,0.007393,0.007393,0.007393
81,0.015992,0.012727,0.0063384,0.0044287,0.00064753,0.00083631,0.9498,0.93327,0.9597,0.69141,0.00736,0.00736,0.00736
82,0.015977,0.01217,0.0060681,0.0043832,0.0006063,0.00076758,0.94381,0.9523,0.96386,0.69405,0.007327,0.007327,0.007327
83,0.016111,0.012409,0.0060456,0.004444,0.00068798,0.00079521,0.93821,0.95906,0.96557,0.69546,0.007294,0.007294,0.007294
84,0.016239,0.012269,0.0059428,0.0043378,0.0006682,0.00099952,0.94225,0.95558,0.96678,0.71244,0.007261,0.007261,0.007261
85,0.015781,0.012303,0.0060558,0.0044593,0.00062742,0.0007957,0.94222,0.96568,0.97118,0.70737,0.007228,0.007228,0.007228
86,0.015561,0.011884,0.0059477,0.0043263,0.00061533,0.00073206,0.95081,0.94762,0.96275,0.70738,0.007195,0.007195,0.007195
87,0.015438,0.011755,0.0060273,0.0042655,0.00062948,0.00071379,0.95469,0.94322,0.96329,0.71471,0.007162,0.007162,0.007162
88,0.015729,0.011998,0.0059217,0.0043697,0.00065304,0.00072713,0.93936,0.96179,0.96634,0.705,0.007129,0.007129,0.007129
89,0.015603,0.011954,0.005946,0.0043931,0.00065408,0.00065632,0.93479,0.95734,0.96396,0.7033,0.007096,0.007096,0.007096
90,0.015351,0.011988,0.0059591,0.0044074,0.00060377,0.00074371,0.94758,0.948,0.96503,0.70753,0.007063,0.007063,0.007063
91,0.015572,0.012066,0.0059673,0.0045007,0.00058978,0.00073121,0.94642,0.94569,0.96162,0.71189,0.00703,0.00703,0.00703
92,0.015069,0.012237,0.0058541,0.0043849,0.00057281,0.00084957,0.95309,0.96228,0.96951,0.70721,0.006997,0.006997,0.006997
93,0.015495,0.011674,0.0058649,0.0043518,0.00060469,0.00065989,0.94824,0.95426,0.96541,0.71849,0.006964,0.006964,0.006964
94,0.015394,0.011964,0.0060361,0.0043403,0.00063235,0.00083533,0.94415,0.95606,0.96612,0.71992,0.006931,0.006931,0.006931
95,0.01525,0.011626,0.0057063,0.0043547,0.00060552,0.00079407,0.94604,0.95663,0.96425,0.71384,0.006898,0.006898,0.006898
96,0.015398,0.011636,0.0058136,0.0043772,0.00061209,0.00080114,0.95601,0.95245,0.96674,0.71497,0.006865,0.006865,0.006865
97,0.015189,0.01246,0.0056747,0.0043598,0.00060838,0.00070217,0.95257,0.95255,0.96947,0.70941,0.006832,0.006832,0.006832
98,0.015166,0.011902,0.0057921,0.0044136,0.00054762,0.00070264,0.95005,0.95428,0.96546,0.70703,0.006799,0.006799,0.006799
99,0.014756,0.011675,0.0058643,0.0044193,0.00052574,0.00080808,0.95335,0.9499,0.96145,0.71595,0.006766,0.006766,0.006766
100,0.014777,0.011678,0.0056572,0.0043534,0.00056887,0.00082047,0.94271,0.96032,0.96404,0.71771,0.006733,0.006733,0.006733
101,0.014845,0.011775,0.0056682,0.0042877,0.00060268,0.00089524,0.94372,0.95706,0.9631,0.71484,0.0067,0.0067,0.0067
102,0.014725,0.011423,0.0058514,0.0042056,0.00056551,0.00070562,0.94754,0.96513,0.96979,0.71513,0.006667,0.006667,0.006667
103,0.014537,0.01138,0.0057474,0.0043226,0.00054109,0.0006474,0.95482,0.95145,0.96578,0.719,0.006634,0.006634,0.006634
104,0.014518,0.011219,0.0057319,0.0043548,0.00056462,0.00073844,0.95274,0.95594,0.96446,0.71925,0.006601,0.006601,0.006601
105,0.014582,0.011242,0.0055992,0.0042917,0.0005696,0.00077284,0.95743,0.94559,0.95933,0.72644,0.006568,0.006568,0.006568
106,0.01456,0.011062,0.0055332,0.0042011,0.00054284,0.00064718,0.95668,0.95291,0.96473,0.71786,0.006535,0.006535,0.006535
107,0.014421,0.011335,0.0056269,0.0041903,0.00051649,0.00061765,0.95216,0.95245,0.96702,0.72122,0.006502,0.006502,0.006502
108,0.014154,0.011354,0.0057584,0.0043012,0.0005274,0.00065386,0.95037,0.94971,0.96979,0.72805,0.006469,0.006469,0.006469
109,0.014092,0.011371,0.0056062,0.004224,0.00050478,0.00070797,0.93717,0.95129,0.9602,0.71808,0.006436,0.006436,0.006436
110,0.014211,0.011299,0.0056072,0.0042167,0.00054279,0.00069126,0.95927,0.94947,0.96523,0.72655,0.006403,0.006403,0.006403
111,0.014139,0.011216,0.0055646,0.0042485,0.00053483,0.00072967,0.95924,0.95364,0.96686,0.72271,0.00637,0.00637,0.00637
112,0.014403,0.011247,0.0055124,0.0042148,0.00053957,0.00067633,0.95351,0.95718,0.96182,0.72559,0.006337,0.006337,0.006337
113,0.014242,0.011109,0.0055293,0.0042723,0.00054658,0.00072967,0.9564,0.94632,0.96479,0.72329,0.006304,0.006304,0.006304
114,0.014114,0.011211,0.0056183,0.0041508,0.00051837,0.00063508,0.94439,0.96458,0.96762,0.72501,0.006271,0.006271,0.006271
115,0.014179,0.010959,0.0056741,0.0041858,0.00056209,0.00064524,0.95353,0.96276,0.97029,0.72838,0.006238,0.006238,0.006238
116,0.014068,0.011215,0.0054337,0.0042458,0.00053115,0.00078102,0.94576,0.95298,0.96517,0.73033,0.006205,0.006205,0.006205
117,0.01386,0.011241,0.0053395,0.0042515,0.00052846,0.00082973,0.95442,0.95704,0.96445,0.73018,0.006172,0.006172,0.006172
118,0.013861,0.011348,0.0054548,0.004247,0.00052401,0.0006964,0.95707,0.95613,0.96443,0.72167,0.006139,0.006139,0.006139
119,0.014008,0.011122,0.0053266,0.0041713,0.00048032,0.00069206,0.94621,0.96162,0.96672,0.73185,0.006106,0.006106,0.006106
120,0.014243,0.011186,0.0055399,0.0042326,0.00053465,0.0007121,0.95312,0.95799,0.96558,0.7245,0.006073,0.006073,0.006073
121,0.014213,0.011159,0.0054211,0.0042398,0.00053788,0.00072485,0.94373,0.95805,0.96456,0.72747,0.00604,0.00604,0.00604
122,0.013634,0.010818,0.0053123,0.0041205,0.00052707,0.00060887,0.95167,0.94922,0.96256,0.73257,0.006007,0.006007,0.006007
123,0.013284,0.011124,0.0054236,0.004199,0.00048582,0.00064458,0.94234,0.9595,0.96682,0.72339,0.005974,0.005974,0.005974
124,0.013588,0.011112,0.0054074,0.0040921,0.00048994,0.0006216,0.95548,0.9464,0.96474,0.72758,0.005941,0.005941,0.005941
125,0.013365,0.010817,0.0053281,0.0041161,0.00046502,0.00064995,0.95088,0.95582,0.96707,0.73891,0.005908,0.005908,0.005908
126,0.013435,0.011002,0.0053202,0.0041517,0.00051858,0.00065489,0.94757,0.95307,0.9632,0.74158,0.005875,0.005875,0.005875
127,0.013592,0.011414,0.0052815,0.0041161,0.00050957,0.00068289,0.95473,0.95626,0.96502,0.7291,0.005842,0.005842,0.005842
128,0.013342,0.010756,0.0053677,0.0041018,0.00046588,0.00059059,0.95197,0.96415,0.968,0.7352,0.005809,0.005809,0.005809
129,0.013382,0.010907,0.0051793,0.0042405,0.00048687,0.00062737,0.94838,0.95601,0.96588,0.73541,0.005776,0.005776,0.005776
130,0.013007,0.010624,0.0051026,0.0040836,0.00048162,0.00059737,0.93906,0.9622,0.96761,0.73741,0.005743,0.005743,0.005743
131,0.013211,0.010683,0.0051236,0.0040607,0.00043469,0.00066022,0.94395,0.95279,0.96417,0.7467,0.00571,0.00571,0.00571
132,0.013094,0.010665,0.0051656,0.0041214,0.00049105,0.00058705,0.94942,0.95721,0.96513,0.73932,0.005677,0.005677,0.005677
133,0.013366,0.010631,0.0053011,0.0042555,0.00045252,0.00068514,0.95441,0.95736,0.96865,0.74299,0.005644,0.005644,0.005644
134,0.012905,0.010791,0.0053289,0.0041858,0.00052079,0.00064889,0.95101,0.95486,0.96589,0.74508,0.005611,0.005611,0.005611
135,0.0131,0.010869,0.005205,0.0041898,0.00045711,0.00075437,0.95899,0.95223,0.9642,0.73545,0.005578,0.005578,0.005578
136,0.013073,0.010754,0.0051067,0.0042942,0.00048304,0.00070687,0.952,0.94925,0.96236,0.73646,0.005545,0.005545,0.005545
137,0.012882,0.010636,0.0051909,0.0041493,0.0005083,0.00067404,0.95063,0.96186,0.96841,0.73083,0.005512,0.005512,0.005512
138,0.012961,0.010704,0.0051036,0.0040851,0.00045698,0.00063765,0.95374,0.96318,0.96629,0.73515,0.005479,0.005479,0.005479
139,0.012509,0.010607,0.0051164,0.0042095,0.00041858,0.0006117,0.95258,0.95948,0.96585,0.73514,0.005446,0.005446,0.005446
140,0.012861,0.010542,0.0050303,0.0041131,0.00041983,0.00066195,0.95557,0.96192,0.9669,0.74501,0.005413,0.005413,0.005413
141,0.012752,0.010611,0.0050694,0.0041539,0.00047003,0.00064574,0.95969,0.96103,0.96552,0.73911,0.00538,0.00538,0.00538
142,0.012642,0.010733,0.0051573,0.0040852,0.00045437,0.00065527,0.95803,0.95838,0.96416,0.73543,0.005347,0.005347,0.005347
143,0.012903,0.010845,0.0051056,0.0041636,0.00047849,0.00070145,0.95581,0.95867,0.96098,0.73777,0.005314,0.005314,0.005314
