               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.018467,           0.0078874,          0.00092595,             0.93815,             0.95252,              0.9601,             0.64394,            0.014267,           0.0048518,          0.00084374,            0.008845,            0.008845,            0.008845
                  37,            0.018168,           0.0077461,          0.00087805,             0.93857,             0.94637,              0.9646,             0.66957,            0.013825,            0.004735,             0.00085,            0.008812,            0.008812,            0.008812
                  38,            0.018016,           0.0077156,          0.00093013,             0.92994,             0.95057,              0.9586,             0.65329,            0.013667,           0.0046984,          0.00086666,            0.008779,            0.008779,            0.008779
                  39,            0.018049,           0.0075105,          0.00087304,             0.94713,             0.93453,             0.96149,             0.66281,            0.013854,           0.0047357,          0.00086131,            0.008746,            0.008746,            0.008746
                  40,            0.017906,           0.0074297,          0.00088186,             0.93666,             0.94221,             0.95519,             0.66577,            0.013788,           0.0046204,          0.00082159,            0.008713,            0.008713,            0.008713
                  41,            0.018472,           0.0074675,          0.00088849,             0.93745,             0.95124,             0.95716,             0.66323,            0.013675,           0.0046254,          0.00085904,             0.00868,             0.00868,             0.00868
                  42,            0.017395,           0.0074925,          0.00080832,             0.93524,             0.94377,             0.95807,             0.67316,            0.014016,            0.004638,          0.00081596,            0.008647,            0.008647,            0.008647
                  43,            0.017258,           0.0074791,          0.00083385,              0.9319,             0.96101,             0.95788,             0.66794,            0.013488,           0.0045627,          0.00077123,            0.008614,            0.008614,            0.008614
                  44,            0.017408,           0.0073616,          0.00084081,             0.94749,             0.94582,             0.95651,             0.66798,            0.012932,           0.0045016,          0.00077005,            0.008581,            0.008581,            0.008581
                  45,              0.0173,           0.0073765,          0.00082382,             0.92056,             0.95503,              0.9501,             0.67057,            0.013567,           0.0046077,          0.00076931,            0.008548,            0.008548,            0.008548
                  46,            0.017328,           0.0073983,           0.0008076,             0.93152,             0.95431,             0.95691,             0.66415,            0.013755,           0.0045993,          0.00075453,            0.008515,            0.008515,            0.008515
                  47,            0.017001,           0.0073526,          0.00077214,             0.95916,             0.94205,              0.9667,             0.68457,            0.012956,           0.0045185,          0.00076147,            0.008482,            0.008482,            0.008482
                  48,            0.017313,           0.0072382,          0.00080688,             0.93606,              0.9549,             0.96222,             0.67268,            0.013395,            0.004558,          0.00078359,            0.008449,            0.008449,            0.008449
                  49,            0.017394,           0.0074529,          0.00078188,             0.94188,             0.95072,             0.96131,             0.66266,            0.013588,           0.0046912,           0.0008832,            0.008416,            0.008416,            0.008416
                  50,            0.016517,           0.0073207,          0.00074009,             0.95595,             0.93167,             0.95695,             0.66073,            0.013202,            0.004588,          0.00070961,            0.008383,            0.008383,            0.008383
                  51,            0.016381,           0.0072644,          0.00070344,              0.9499,             0.94962,             0.96385,             0.68885,            0.012396,           0.0045575,          0.00075285,             0.00835,             0.00835,             0.00835
                  52,            0.016586,           0.0072876,          0.00073736,             0.94803,             0.95722,             0.96162,             0.68335,            0.012721,           0.0045739,          0.00073224,            0.008317,            0.008317,            0.008317
                  53,            0.016168,           0.0072352,          0.00074005,             0.94427,             0.96063,             0.96067,             0.67294,            0.012772,           0.0044979,          0.00073705,            0.008284,            0.008284,            0.008284
                  54,            0.016176,           0.0070582,          0.00070414,             0.94687,             0.94845,              0.9621,              0.6783,            0.012855,            0.004492,            0.000793,            0.008251,            0.008251,            0.008251
                  55,            0.016345,           0.0071461,          0.00073616,             0.95741,             0.94932,             0.96336,             0.69535,            0.012377,           0.0043891,           0.0006669,            0.008218,            0.008218,            0.008218
                  56,            0.016375,           0.0071326,          0.00067019,             0.95834,               0.948,             0.96134,             0.67152,            0.012855,           0.0045177,           0.0006244,            0.008185,            0.008185,            0.008185
                  57,              0.0161,           0.0069219,          0.00069268,             0.95356,             0.95899,             0.96632,             0.68871,             0.01242,           0.0044547,          0.00064353,            0.008152,            0.008152,            0.008152
                  58,            0.015871,           0.0068472,          0.00069463,             0.94613,             0.94813,             0.96157,             0.68933,            0.012493,            0.004312,          0.00074566,            0.008119,            0.008119,            0.008119
                  59,            0.015765,           0.0068644,          0.00069212,             0.93433,             0.96233,             0.96019,             0.67936,            0.012904,           0.0044878,           0.0007627,            0.008086,            0.008086,            0.008086
